Site_Code,Tree_ID,Location_deg_min_sec_North_nosym,Location_deg_min_sec_West
CL3,B-11,47 11 20.74,68 20 13.24
CL3,W-12,47 11 20.65,68 20 13.28
CL3,W-13,47 11 20.82,68 20 13.25
CL3,W-14,47 11 20.73,68 20 13.04
CL3,B-15,47 11 20.69,68 20 13.16
CL3,B-16,47 11 20.62,68 20 13.18
CL3,W-17,47 11 20.66,68 20 13.03
CL3,B-18,47 11 20.55,68 20 13.11
CL3,W-19,47 11 20.41,68 20 13.06
CL3,B-20,47 11 20.41,68 20 13.00
CL3,W-21,47 11 20.29,68 20 12.83
CL3,B-22,47 11 20.37,68 20 12.67
CL3,B-23,47 11 20.29,68 20 12.60
CL3,B-24,47 11 20.16,68 20 12.62
CL3,W-25,47 11 20.09,68 20 12.54
CL3,B-26,47 11 20.08,68 20 12.29
CL3,B-27,47 11 20.12,68 20 12.17
CL3,B-28,47 11 20.05,68 20 12.11
CL3,B-29,47 11 19.96,68 20 12.17
CL3,B-30,47 11 20.04,68 20 12.07
CL3,B-31,47 11 20.10,68 20 14.97
CL3,R-32,47 11 21.06,68 20 16.47
CL3,W-33,47 11 21.58,68 20 15.46
CL3,W-34,47 11 21.60,68 20 15.28
CL3,W-35,47 11 21.51,68 20 15.38
CL3,W-36,47 11 21.32,68 20 15.21
CL3,W-37,47 11 21.85,68 20 14.72
CL3,W-38,47 11 21.97,68 20 15.81
CL3,W-39,47 11 21.94,68 20 15.90
CL3,W-40,47 11 21.99,68 20 15.95
CL3,W-41,47 11 22.49,68 20 16.56
CL3,W-42,47 11 22.95,68 20 17.11
CL3,W-43,47 11 23.00,68 20 16.95
CL3,W-44,47 11 23.11,68 20 16.93
CL3,W-45,47 11 22.89,68 20 16.61
CL3,W-46,47 11 21.88,68 20 14.99
CL3,W-47,47 11 21.77,68 20 15.00
SR1,W-1,47 06 36.96,68 12 47.82
SR1,W-2,47 06 36.88,68 12 47.82
SR1,W-3,47 06 35.56,68 12 49.00
