Latitude,Longitude,Site Code_Tree ID
46 53 25.49,68 37 32.56,HB-2_Big-11
46 53 25.52,68 37 31.70,HB-2_Big-12
46 53 25.82,68 37 31.36,HB-2_Asp-16
,,HB-2_Big-45
46 53 25.52,68 37 31.48,HB-2_Asp-13
46 53 25.61,68 37 31.67,HB-2_Asp-14
46 53 25.40,68 37 31.42,HB-2_Asp-15
46 53 25.82,68 37 31.36,HB-2_Asp-16
46 53 25.51,68 37 30.78,HB-2_Asp-17
46 53 26.06,68 37 30.94,HB-2_Asp-18
46 53 26.10,68 37 30.99,HB-2_Asp-19
46 53 26.16,68 37 30.93,HB-2_Asp-20
46 53 26.97,68 37 31.70,HB-2_Asp-21
46 53 27.18,68 37 31.75,HB-2_Asp-22
46 53 27.58,68 37 31.97,HB-2_Asp-24
46 53 27.66,68 37 32.22,HB-2_Asp-25
,,HB-2_Asp-27
,,HB-2_Asp-28
,,HB-2_Asp-29
,,HB-2_Asp-30
46 53 29.59,68 37 32.95,HB-2_Bal-31
,,HB-2_Asp-32
,,HB-2_Asp-33
,,HB-2_Asp-34
,,HB-2_ASp-50
46 53 30.17,68 37 33.62,HB-2_Asp-51
,,HB-2_Big-45
,,HB-2_Big-45?
,,HB-2_-23
,,RR-1_Asp-4
,,RR-1_Asp-5
46 55 34.56,68 42 38.34,RR-1_Asp-6
,,RR-1_Asp-8
46 55 34.81,68 42 38.40,RR-1_Asp-9
,,RR-1_Asp-10
46 55 34.86,68 42 39.10,RR-1_Bal-11
,,RR-1_Asp-12
,,RR-1_Asp-15
,,RR-1_Asp-16
,,RR-1_Asp-17
,,RR-1_Asp-18
46 55 35.40,68 42 38.14,RR-1_Asp-19
,,RR-1_Asp-20
,,RR-1_Asp-21
,,RR-1_Asp-22
46 55 35.39,68 42 37.70,RR-1_Bal-23
46 55 35.58,68 42 37.94,RR-1_Asp-24
46 55 35.58,68 42 37.73,RR-1_Asp-25
46 55 35.64,68 42 37.62,RR-1_Asp-26
46 55 35.67,68 42 37.60,RR-1_ASP-28
,,RR-1_Asp-29
46 55 35.77,68 42 37.38,RR-1_Asp-30
46 55 35.71,68 42 37.33,RR-1_Asp-31
,,RR-1_Asp-32
46 55 35.84,68 42 36.46,RR-1_Asp-33 
46 55 35.83,68 42 36.93,RR-1_Asp-34
46 55 35.92,68 42 36.82,RR-1_Asp-35
46 55 35.89,68 42 36.86,RR-1_Asp-36
46 55 35.87,68 42 36.54,RR-1_Asp-37
46 65 35.92,68 42 36.52,RR-1_Asp-38
46 65 36.01,68 42 36.40,RR-1_Asp-39
46 65 35.97,68 42 36.25,RR-1_Asp-40
46 55 35.91,68 42 36.24,RR-1_Asp-41
46 55 35.91,68 42 36.64,RR-1_ASp-42
